mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Model__criterion,param_Model__min_samples_leaf,param_Model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.4798808892567954,0.015576393079782062,0.4761050542195638,0.0012306499834665698,log_loss,20,1000,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 1000}",0.8100533751962322,0.8008579252361492,0.8326761212959759,0.814529140576119,0.013369710964894707,22
2.0298096338907876,0.007897417782963361,0.14838743209838867,0.0013859588974992482,log_loss,25,100,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 100}",0.8099644165358452,0.8010871658739197,0.8326111338217876,0.8145542387438508,0.01327252776026174,18
2.1864966551462808,0.00452145943166086,0.17902612686157227,0.004896341555334377,log_loss,25,200,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 200}",0.8098084772370485,0.8010097055670932,0.8329255893420542,0.8145812573820653,0.013459581024155363,15
2.6922527154286704,0.014020522042464217,0.289791742960612,0.0018351531182504526,log_loss,25,500,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 500}",0.8099675562532707,0.8007699973202921,0.8325293753865182,0.8144223096533603,0.013342866875352747,26
3.4450697898864746,0.009808342266663574,0.4739297231038411,0.002950356876441084,log_loss,25,1000,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 1000}",0.8096577708006278,0.8008453641053125,0.8326090374516526,0.8143707241191976,0.013388843187532744,28
2.047799030939738,0.010073245611390717,0.14437111218770346,0.00038095301826763546,log_loss,30,100,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 30, 'Model__n_estimators': 100}",0.8103840920983778,0.8010526227641188,0.8315388404976782,0.8143251851200582,0.012754124263119808,35
2.2098650137583413,0.018547979364127578,0.18719657262166342,0.0012863913020443151,log_loss,30,200,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 30, 'Model__n_estimators': 200}",0.8098335949764521,0.800718706036042,0.831883693384904,0.8141453314657995,0.013083256800936024,42
2.6521138350168862,0.0022704223142539287,0.2893228530883789,0.0020635631159571636,log_loss,30,500,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 30, 'Model__n_estimators': 500}",0.8099413919413919,0.8005962350103839,0.8323868222173307,0.8143081497230354,0.013340709348538695,39
3.409884055455526,0.020026701892916964,0.47802114486694336,0.00178397916471478,log_loss,30,1000,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 30, 'Model__n_estimators': 1000}",0.8098220826792255,0.8005145876599451,0.8326216156724631,0.8143194286705446,0.013487893402934315,37
2.0314017136891684,0.010520168919991073,0.14528822898864746,0.002011708844064015,log_loss,50,100,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 50, 'Model__n_estimators': 100}",0.8090381998953428,0.7999085130970724,0.8304351016215423,0.8131272715379859,0.012793449675767019,57
2.196759303410848,0.014096373070008147,0.18853425979614258,0.004327534602530804,log_loss,50,200,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 50, 'Model__n_estimators': 200}",0.8093867085295656,0.8003240771755877,0.8308229300965377,0.8135112386005637,0.012788114758200565,49
2.6701281865437827,0.031785757005990886,0.2912924289703369,0.0017800606809685472,log_loss,50,500,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 50, 'Model__n_estimators': 500}",0.8093615907901622,0.7999493367722919,0.8310189407041707,0.8134432894222083,0.013008337580518383,51
3.385944922765096,0.011969369735706639,0.4726785024007161,0.0027769450692078606,log_loss,50,1000,"{'Model__criterion': 'log_loss', 'Model__min_samples_leaf': 50, 'Model__n_estimators': 1000}",0.8091282051282053,0.7996834595029141,0.8309225076779557,0.8132447241030251,0.013081254503376995,53
