mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.5015085538228353,0.0016119811472272213,0.0842583179473877,0.004465804732540058,entropy,30,200,"{'criterion': 'entropy', 'min_samples_leaf': 30, 'n_estimators': 200}",0.813330193615908,0.8062225748643398,0.8309927360774819,0.8168485015192433,0.010413903831201379,14
1.251700480779012,0.021981036807053322,0.20523317654927573,0.004253485545268389,entropy,30,500,"{'criterion': 'entropy', 'min_samples_leaf': 30, 'n_estimators': 500}",0.813003663003663,0.8056803527165538,0.8319654518201733,0.8168831558467966,0.011075933587790524,8
2.5629707177480063,0.024822347032922736,0.3875799973805745,0.00413838030680774,entropy,30,1000,"{'criterion': 'entropy', 'min_samples_leaf': 30, 'n_estimators': 1000}",0.8130350601779173,0.8058876113753601,0.832204438015576,0.8170423698562844,0.011111187732687718,3
0.243914524714152,0.00018167770369204028,0.04687730471293131,0.00032455447113315176,entropy,50,100,"{'criterion': 'entropy', 'min_samples_leaf': 50, 'n_estimators': 100}",0.8112014652014653,0.8062843337576204,0.8310577235516703,0.8161811741702522,0.010709134310868909,41
0.4731643994649251,0.0004891655678404101,0.08749715487162273,0.0004372648017894175,entropy,50,200,"{'criterion': 'entropy', 'min_samples_leaf': 50, 'n_estimators': 200}",0.812742019884877,0.8054207560125948,0.8314654675429496,0.8165427478134738,0.010967099259915564,27
1.3125993410746257,0.035498356856579594,0.20288324356079102,0.00020199302680228468,entropy,50,500,"{'criterion': 'entropy', 'min_samples_leaf': 50, 'n_estimators': 500}",0.8127671376242804,0.805597658605212,0.8319402953785521,0.8167683638693481,0.011120281370576792,18
2.4778059323628745,0.11087076365196821,0.39400696754455566,0.013031693922102749,entropy,50,1000,"{'criterion': 'entropy', 'min_samples_leaf': 50, 'n_estimators': 1000}",0.8127252747252748,0.8057096620218396,0.8320283429242267,0.8168210932237803,0.011128043793046587,16
0.28244813283284503,0.005361948519830197,0.04679433504740397,0.00020403062178682776,log_loss,15,100,"{'criterion': 'log_loss', 'min_samples_leaf': 15, 'n_estimators': 100}",0.8127294610151752,0.8052721159643599,0.8291269666572331,0.8157095145455894,0.009964069271735609,52
0.557391881942749,0.005372877723148324,0.08066010475158691,0.004512309284828929,log_loss,15,200,"{'criterion': 'log_loss', 'min_samples_leaf': 15, 'n_estimators': 200}",0.8132391418105704,0.8053432957057681,0.8305734620504596,0.8163852998555994,0.010537680208927244,33
1.3560219605763753,0.05472382459564509,0.19061525662740073,0.0003112898451925729,log_loss,15,500,"{'criterion': 'log_loss', 'min_samples_leaf': 15, 'n_estimators': 500}",0.8127158555729984,0.8045016999397064,0.8299277800488455,0.8157151118538501,0.010594591107659932,50
2.8839330673217773,0.02889509918594527,0.3740704854329427,0.004849075985646194,log_loss,15,1000,"{'criterion': 'log_loss', 'min_samples_leaf': 15, 'n_estimators': 1000}",0.8125735217163788,0.8050627637837476,0.8300116348542498,0.8158826401181254,0.010450653579903296,46
0.2813403606414795,0.0057337027103612145,0.046689510345458984,0.0004118499059474371,log_loss,20,100,"{'criterion': 'log_loss', 'min_samples_leaf': 20, 'n_estimators': 100}",0.8123150183150183,0.8055945183225028,0.8294676268041885,0.8157923878139032,0.010051547181683506,48
0.5515670776367188,0.0040233334128747635,0.08780320485432942,0.00014438987316234072,log_loss,20,200,"{'criterion': 'log_loss', 'min_samples_leaf': 20, 'n_estimators': 200}",0.8125389848246991,0.8059776328130235,0.831023133444441,0.8165132503607212,0.010603941574801127,29
1.3370247681935628,0.00770406929856036,0.19134140014648438,0.0002781454947524752,log_loss,20,500,"{'criterion': 'log_loss', 'min_samples_leaf': 20, 'n_estimators': 500}",0.8122208267922555,0.8058289927647886,0.8308543756485645,0.8163013984018695,0.010616206027132497,37
2.623014291127523,0.0241590482553599,0.37833770116170246,0.00023118918519993712,log_loss,20,1000,"{'criterion': 'log_loss', 'min_samples_leaf': 20, 'n_estimators': 1000}",0.8127545787545788,0.8058101510685335,0.8303596322966784,0.816308120706597,0.010332473161391858,35
0.26643943786621094,0.00438736742510401,0.046458800633748375,0.00046380433094943746,log_loss,25,100,"{'criterion': 'log_loss', 'min_samples_leaf': 25, 'n_estimators': 100}",0.8121203558346415,0.8062508374087225,0.830511619131474,0.8162942707916127,0.010334813560671806,39
0.5179823239644369,0.02886106973750542,0.08512091636657715,0.004613051265811296,log_loss,25,200,"{'criterion': 'log_loss', 'min_samples_leaf': 25, 'n_estimators': 200}",0.8128948194662482,0.8061116182086152,0.8311059400647778,0.8167041259132137,0.010553424182622161,22
1.2738939921061199,0.011327331066338986,0.19464921951293945,0.00492759418735038,log_loss,25,500,"{'criterion': 'log_loss', 'min_samples_leaf': 25, 'n_estimators': 500}",0.8131669283097853,0.8060362514235948,0.8314078173642339,0.8168703323658714,0.010683803653881097,10
2.5423309803009033,0.01891314591814209,0.3787051836649577,0.0012462285520817144,log_loss,25,1000,"{'criterion': 'log_loss', 'min_samples_leaf': 25, 'n_estimators': 1000}",0.8133678702250131,0.8060174097273398,0.8316468035596365,0.8170106945039964,0.01077556134959736,5
0.25704367955525714,0.004970640447719824,0.047256867090861,0.0015048709925235336,log_loss,30,100,"{'criterion': 'log_loss', 'min_samples_leaf': 30, 'n_estimators': 100}",0.8126164311878599,0.8066224375293094,0.8313229143737619,0.8168539276969771,0.010519685406716283,12
0.5263901551564535,0.06709791082498781,0.09281682968139648,0.006125187047230846,log_loss,30,200,"{'criterion': 'log_loss', 'min_samples_leaf': 30, 'n_estimators': 200}",0.813330193615908,0.8062225748643398,0.8309927360774819,0.8168485015192433,0.010413903831201379,14
1.3579742908477783,0.05628296093884602,0.19171524047851562,0.0013003927633436325,log_loss,30,500,"{'criterion': 'log_loss', 'min_samples_leaf': 30, 'n_estimators': 500}",0.813003663003663,0.8056803527165538,0.8319654518201733,0.8168831558467966,0.011075933587790524,8
2.621269861857096,0.08039550043445583,0.4136025110880534,0.030738537534934184,log_loss,30,1000,"{'criterion': 'log_loss', 'min_samples_leaf': 30, 'n_estimators': 1000}",0.8130350601779173,0.8058876113753601,0.832204438015576,0.8170423698562844,0.011111187732687718,3
0.24548729260762533,0.0013316198273554054,0.046908299128214516,0.0005100897879089295,log_loss,50,100,"{'criterion': 'log_loss', 'min_samples_leaf': 50, 'n_estimators': 100}",0.8112014652014653,0.8062843337576204,0.8310577235516703,0.8161811741702522,0.010709134310868909,41
0.48418188095092773,0.0014930422979965118,0.08822234471638997,0.00060081167615509,log_loss,50,200,"{'criterion': 'log_loss', 'min_samples_leaf': 50, 'n_estimators': 200}",0.812742019884877,0.8054207560125948,0.8314654675429496,0.8165427478134738,0.010967099259915564,27
1.1775577863057454,0.006583576156769095,0.1987457275390625,0.004826260403101575,log_loss,50,500,"{'criterion': 'log_loss', 'min_samples_leaf': 50, 'n_estimators': 500}",0.8127671376242804,0.805597658605212,0.8319402953785521,0.8167683638693481,0.011120281370576792,18
2.3538586298624673,0.017438922455178568,0.3883231480916341,0.010617285720256532,log_loss,50,1000,"{'criterion': 'log_loss', 'min_samples_leaf': 50, 'n_estimators': 1000}",0.8127252747252748,0.8057096620218396,0.8320283429242267,0.8168210932237803,0.011128043793046587,16
